ID_EMPRESA,EMPRESA,ORIGEN,LOCALIDAD,PRIORIDAD,ESTADO_PIPELINE,CONTACTADO,RESPUESTA,LICITA,TIPO_SERVICIO,PROVEEDOR_ACTUAL,FECHA_ULT_CONTACTO,FECHA_VOLVER_CONTACTAR,MAIL_GENERAL,TELEFONO_CEL,CONTACTO_HISTORICO,TAMANO_ESTIMADO,ALERTA,COMENTARIOS_PROPIOS,OBSERVACIONES_RELEVAMIENTO,N_CONTACTOS
EMP-0045,SILCAR,Hoja 1,,1,ENVIAR PRESUPUESTO,si,SI,NO,,,,,llanieri@gruposilcar.com,3415454946,fernando,,,VIANDAS,,0
EMP-0046,SIECONS INGENIERÍA,Hoja 1,Rosario,,,,,,,,,,administracion@siecons.com,,,,,,,1
EMP-0047,SERVICIOS NV,Hoja 1,Rosario,,,,,,,,,,administracion@serviciosnv.com,,,,,,administracion@serviciosnv.com,0
EMP-0048,SERVICIOS INGENIERÍA PUERTO,Hoja 1,Puerto General San Martín,,,,,,,,,,administracion@consultoriasip.com.ar,,,,,,~6 empleados; administracion@consultoriasip.com.ar; 3476-541952,0
EMP-0049,SERVICIOS ER S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,0
EMP-0050,SERVICIOS ELECTRICOS MAYLA,Hoja 1,Rosario,,,,,,,,,,info@maylasrl.com.ar,,,,,,info@maylasrl.com.ar,0
EMP-0051,SERVI RIO,Hoja 1,Aldao,,,,,,,,,,sanlorenzo@servirio.com.ar,,,,,,Empresa familiar; Info@servirio.com; (03476) 48-2113; socia Cámara SL,0
EMP-0052,SERVAL S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,Pedir contacto vía Cámara de Comercio SL (camara-sl.org.ar),0
EMP-0053,SEMAC CONSTRUCCIONES S.A.,Hoja 1,San Lorenzo,,,,,,,,,,obras@brayco.com.ar,,,100-200 (grupo Brayco),,,,0
EMP-0054,SELECTA,Hoja 1,San Lorenzo,,,,,,,,,,bruno.gazze@selectaargentina.com,,,,"VERIFICAR: es personal temporario, no helados",,,1
EMP-0055,SEGURIDAD Y RESGUARDO S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,1
EMP-0056,SAVYC S.A.,Hoja 1,Rosario,,,,,,,,,,gerencia@savycsa.com.ar,,,,,,,1
EMP-0057,SAURO CONSTRUCCIONES S.R.L.,Hoja 1,Rosario,,,,,,,,,,hernanobras@hotmail.com,,,,,,,1
EMP-0058,SANIMAT PIÑEIRO,Hoja 1,,1,arranca oct,si,aceptada,no,,,,,,3416138482,abbud turco (titualar),,,,,0
EMP-0059,Sacchi,Hoja 1,Pérez,,,,,,,,,,info@sacchiweb.com.ar,,,,,,"Sacchi Hnos, art. de limpieza; WA 341 583-7991; misma dirección que Rosarpin",0
EMP-0060,S&D OBRAS Y SERVICIOS S.A.,Hoja 1,Rosario,,,,,,,,,,carlosdestefanis@sdingenieria.com.ar,,,,,,,2
EMP-0061,RV OBRAS Y SERVICIOS S.A.,Hoja 1,Alvear,,,,,,,,,,rtorres@suelosyescorias.com,,,,,,,1
EMP-0062,ROVIAL,Hoja 1,,1,,NO,,,,,,,,,,,,,,3
EMP-0063,Rosarpin,Hoja 1,Pérez,,,,,,,,,,rosarpin@rosarpin.com.ar,,,,,,,1
EMP-0064,RINAUDO CIA.CONSTRUCTORA S.R.L.,Hoja 1,Rosario,,,,,,,,,,edgardo@rinaudoconstructora.com.ar,,,,,,,1
EMP-0065,RENTAL SUR,Hoja 1,San Lorenzo,,,,,,,,,,ale.rentalsur@gmail.com,,,,,,ale.rentalsur@gmail.com (el 'ale' sugiere Alejandro/a referente),0
EMP-0066,RENOVA electroluz,Hoja 1,,1,,NO,,,,,,,,3498437598,,,,,,0
EMP-0067,RECAPADORA SAN LORENZO S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,0
EMP-0068,rava,Hoja 1,,,,NO,,,,,,,,,,,NO IDENTIFICADA — falta CUIT/mail,,No hay ninguna Rava en el PIM; pasame mail/CUIT para desambiguar,0
EMP-0069,RANDSTAD,Hoja 1,San Lorenzo,,,,,,,,,,info@randstad.com.ar,,,,,,Pedir branch manager Rosario/SL vía LinkedIn company Randstad Argentina; doble ángulo: comedor propio + prescriptor en plantas donde coloca personal,3
EMP-0070,RANDOM,Hoja 1,,1,avergiuar,NO,,NO,,,,,maria.rodriguez@randon.com.ar,,,,,COMEDOR,,2
EMP-0071,R. y R. SERVICIOS,Hoja 1,Ricardone,,,,,,,,,,administracion@ryrsrl.com,,,,,,administracion@ryrsrl.com; web caída,0
EMP-0072,QMS LATAM,Hoja 1,Rosario,,,,,,,,,,qms@qmslatam.com,,,,,,WA (011) 2378-0095; certificadora ISO chica,0
EMP-0073,Puerto ADM S.R.L,Hoja 1,,1,,NO,,SI,VIANDA,,,,,34022514264,ANDRES,,,VIANDAS,,1
EMP-0074,PROYECCIÓN ELECTROLUZ S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,1
EMP-0075,PROSEGUR,Hoja 1,,1,,NO,,,,,,,,3412826157,,,,VIANDAS,,3
EMP-0076,PROFERTIL,Hoja 1,Puerto General San Martín,,,,,,,,,,profertil@profertil.com.ar,,,,,,,2
EMP-0077,Prodinsa Argentina S.A.,Hoja 1,Piñero,,,,,,,,,,info@prodinsa.com.ar,,,,,,info@prodinsa.com.ar,0
EMP-0078,PROAS S.R.L.,Hoja 1,Rosario,,,,,,,,,,administracion@proassrl.com.ar,,,,,,administracion@proassrl.com.ar,0
EMP-0079,Proagro,Hoja 1,Pérez,,,,,,,,,,info@proagrolab.com.ar,,,,,,rrhh@proagrolab.com.ar; tel 0341 456-1001,0
EMP-0080,PRO GLOBAL,Hoja 1,,1,avergiuar,NO,,NO,,,,,rosario.rrhh@proglobal.com,,,,,COMEDOR,,1
EMP-0081,PRETENSADOS LITORAL S.A.S.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,1
EMP-0082,PRAT CONSTRUCCIONES S.A.,Hoja 1,Rosario,,,,,,,,,,nacho_ra@hotmail.com,,,,,,"nacho_ra@hotmail.com ('Nacho', apellido s/c)",0
EMP-0083,POSE S.A.,Hoja 1,Rosario,,,,,,,,,,licitaciones.posesa@gmail.com,,,,,,licitaciones.posesa@gmail.com; LinkedIn company grupopose,0
EMP-0084,POLEAS MIOR,Hoja 1,San Lorenzo,,,,,,,,,,info@poleasmior.com.ar,,,,,,,1
EMP-0085,PLANARCO S.R.L.,Hoja 1,Rosario,,,,,,,,,,mmartinovic@planarco.com.ar,,,,,,,1
EMP-0086,Pinturas San Agustin,Hoja 1,Pérez,,,,,,,,,,sucursalrosario@gruposanagustin.com.ar,,,,,,sucursalrosario@gruposanagustin.com.ar (el Renjifo RRHH que aparece es de Perú: descartado),0
EMP-0087,PINTAR,Hoja 1,San Lorenzo,,,,,,,,,,info@pintarsrl.com.ar,,,,,,Pintura industrial/granallado con dotaciones en plantas = buen fit viandas; 3476 42-2282,0
EMP-0088,PILAR CONSTRUCCIONES S.R.L.,Hoja 1,Rosario,,,,,,,,,,pilarconstruccionessrl@hotmail.com,,,,,,pilarconstruccionessrl@hotmail.com,0
EMP-0089,PH CONSTRUCTORA S.R.L.,Hoja 1,Rosario,,,,,,,,,,phconstructorasrl@gmail.com,,,,,,phconstructorasrl@gmail.com,0
EMP-0090,PESAR S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,"Nombre genérico, pendiente re-barrido",0
EMP-0091,PELLEGRINI MONTAJES S.R.L.,Hoja 1,Rosario,,,,,,,,,,pellegrinimontajes@fibertel.com.ar,,,,,,pellegrinimontajes@fibertel.com.ar,0
EMP-0092,PEITEL S.A.,Hoja 1,San Lorenzo,,,,,,,,,,recepcion@peitel.com.ar,,,,,,recepcion@peitel.com.ar; WA 3476-600747; servicios industriales desde 1968,0
EMP-0093,PECAM PIÑEIRO,Hoja 1,,1,CLIENTE ACTUAL,si,sin respuesta,,,,,,,,,,,,Cliente actual de Good Food (confirmado por el equipo 22-09-2026).,2
EMP-0094,PATRICELLI PABLO S.A.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,1
EMP-0095,PATAGONIA BIOENERGÍA,Hoja 1,Rosario,,,,,,,,,,info@patagoniabioenergia.com.ar,,,,,,,1
EMP-0096,PALCON,Hoja 1,San Lorenzo,,,,,,,,,,info@palcon.com.ar,,,,,,grupopalcon.com/contacto; LinkedIn company palconargentina,0
EMP-0097,P.G.S. S.A.,Hoja 1,Rosario,,,,,,,,,,hdacunto@pgssa.com.ar,,,,,,,1
EMP-0098,Otaño Hermanos,Hoja 1,Pérez,,,,,,,,,,recepcion@otanohnos.com.ar,,,,,,,1
EMP-0099,OSVALDO LUIS SANTILLI E HIJOS S.A.C.F.A.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,0
EMP-0100,Olympic San Luis SA,Hoja 1,Pérez,,,,,,,,,,ventas@olympicsanluis.com.ar,,,,,,Centro de servicios de acero desde 1979: planta con operarios = buen fit; ventas@olympicsanluis.com.ar; 341 526-4100,0
EMP-0101,OLIMAR,Hoja 1,San Lorenzo,,,,,,,,,,olimar_sanlorenzo@yahoo.com.ar,,,,,,olimar_sanlorenzo@yahoo.com.ar,0
EMP-0102,OLEXGLOBAL S.A.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,1
EMP-0103,OLEOHIDRAULICA MARWAL,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,"(El M. Cuitiño hallado es de Transportes Marwal, otra empresa)",0
EMP-0104,OIL CONTROL S.A.,Hoja 1,San Lorenzo,,,,,,,,,,info@oilcontrol.com.ar,,,,,,info@oilcontrol.com.ar; web JS sin contenido legible,0
EMP-0105,OBRING AEROPUERTO,Hoja 1,,1,,NO,,,,,,,,,,,,,,0
EMP-0106,OBRING,Hoja 1,,1,NECESITAMOS UNA REUNION PRESENCIAL,NO,,,,,,,,,,,,,,1
EMP-0107,NUEVO VICENTIN ARGENTINA,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,2
EMP-0108,NOURYON,Hoja 1,San Lorenzo,,,,,,,,,,info@nouryon.com,,,,,,,4
EMP-0109,NN INGENIERÍA,Hoja 1,San Lorenzo,,,,,,,,,,nningenieria@outlook.com,,,,,,,1
EMP-0110,Nibbler SRL,Hoja 1,Pérez,,,,,,,,,,ventas@nibbler.com.ar,,,,,,ventas@nibbler.com.ar; metalúrgica 30 años,0
EMP-0111,NEQUEN SAN LORENZO,Hoja 1,San Lorenzo,,,,,,,,,,Jeronimo.martinezbo@nequensa.com.ar,,,,,,,1
EMP-0112,Neoris,Hoja 1,,1,,NO,,,,,,,,,,,,,,1
EMP-0113,NEHCON CONSTRUCCIONES S.R.L.,Hoja 1,Rosario,,,,,,,,,,nehconconstruccionessrl@gmail.com,,,,,,FB Nehcon; 0341-156940323,0
EMP-0114,MUNDO CONSTRUCCIONES,Hoja 1,,1,,SI,NO,,,,,,maidana@mundo-sa.com.ar,,,,,VIENE A LA CARCEL DE PINEIRO,,1
EMP-0115,MTR S.A. Logística Portuaria,Hoja 1,Ramallo / COMIRSA,,,,,,,,,,consultas@mtr-sa.com.ar,,,,,,consultas@mtr-sa.com.ar; pendiente re-barrido,0
EMP-0116,MS VINILOS,Hoja 1,San Lorenzo,,,,,,,,,,msvinilosdeco@gmail.com,,,,,,Micro (cartelería); WA 3476-582994,0
EMP-0117,MRT TRANSPORTE,Hoja 1,Puerto Gral. San Martín,,,,,,,,,,mrtsanlorenzo@grupoberaldi.com,,,,,,,1
EMP-0118,MoviPort S.A.,Hoja 1,San Nicolás,,,,,,,,,,rrhh@moviportsa.com.ar,,,~66,,,,2
EMP-0119,Morelli,Hoja 1,Pérez,,,,,,,,,,melisa@morelli.com.ar,,,,,,,1
EMP-0120,MONTARFE,Hoja 1,Puerto General San Martín,,,,,,,,,,ventas@montarfesrl.com.ar,,,,,,Ferretería industrial + grúas; ventas@montarfesrl.com.ar; WA 3476352148,0
EMP-0121,MONGE CONSTRUCCIONES S.A.,Hoja 1,San Lorenzo,,,,,,,,,,rrhh@mongesa.com.ar,,,,,,rrhh@mongesa.com.ar directo; 03476-460083,0
EMP-0122,Molinos Agro,Hoja 1,San Lorenzo,,,,,,,,,,sustentabilidad@molinosagro.com.ar,,,,,,,3
EMP-0123,MOLINO CAÑUELAS,Hoja 1,,1,,NO,,,,,,,,,,,,,,4
EMP-0124,MN INGENIERIA Y SOLUCIONES S.A.S.,Hoja 1,Rosario,,,,,,,,,,luis.montaoo@mningenieria.com.ar,,,,,,,1
EMP-0125,MINIELLO & CIA,Hoja 1,San Lorenzo,,,,,,,,,,administracion@minielloycia.com,,,,,,,1
EMP-0126,MILICIC,Hoja 1,,1,ENVIADO,SI,,NO,VIANDAS,NADIE,09/09,,,,,,,VIANDA,,4
EMP-0127,Metalúrgica Industrial S.A. (MISA),Hoja 1,Ramallo / COMIRSA,,,,,,,,,,alberico@misa.com.ar,,,,,,,2
EMP-0128,Metalsur,Hoja 1,,1,,NO,,,,,,,,,,,,,Sin presencia en LinkedIn; llamar 0341 492-8490 / 492-4250 (Av. San Martín 2939 VGG) y pedir administración/compras,2
EMP-0129,METALIZA S.A.,Hoja 1,San Lorenzo,,,,,,,,,,info@metaliza.com.ar,,,,,,,1
EMP-0130,MERCONOR S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,1
EMP-0131,Mercator SA,Hoja 1,Pérez,,,,,,,,,,mercator@mercator.com.ar,,,,VERIFICAR: importadora bazar,,OJO: importadora de bazar/cocina; verificar operación Pérez; WA (011) 7608-4078,0
EMP-0132,MEFA INGENIERÍA,Hoja 1,San Lorenzo,,,,,,,,,,administracion@mefaingenieria.com.ar,,,,,,administracion@mefaingenieria.com.ar; WA 3476 356073,0
EMP-0133,MECALL S.R.L.,Hoja 1,Rosario,,,,,,,,,,administracion@mecallsrl.com.ar,,,,,,,1
EMP-0134,Mastergom,Hoja 1,Pérez,,,,,,,,,,cauchos@mastergom.com.ar,,,,,,Admin: cauchos@mastergom.com.ar WA 341 619-1147,0
EMP-0135,MARIGO PERFORACIONES,Hoja 1,San Lorenzo,,,,,,,,,,ventas@marigo.com.ar,,,,,,Fundada 1961; preguntar por los Marigo; 03476-423003,0
EMP-0136,MARCHI DEPOT,Hoja 1,Fray Luis Beltrán,,,,,,,,,,administracion@marchidepotsa.com.ar,,,,,,Depósito fiscal; WA 341 491-7267; titular probable apellido Marchi,0
EMP-0137,MARANO SERVICIOS,Hoja 1,San Lorenzo,,,,,,,,,,mssteelframing@gmail.com,,,,,,Muy chica; 3476-642230,0
EMP-0138,MANUFACTURING ENGINEERING FANTONI ALEJANDRO S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,1
EMP-0139,MAN INGENIERIA,Hoja 1,San Lorenzo,,,,,,,,,,contacto@maningenieria.ar,,,,,,,1
EMP-0140,Maincal,Hoja 1,Pérez,,,,,,,,,,contacto@maincal.com.ar,,,201-500,,,RUBRO CORREGIDO: calzado de seguridad (Funcional/Voran) 201-500 empleados: GRAN target; RRHH 341-6393508; maincal.hiringroom.com,2
EMP-0141,MADERO CONSTRUCCIONES S.R.L.,Hoja 1,Rosario,,,,,,,,,,contacto@grupomadero.com.ar,,,,,,contacto@grupomadero.com.ar; WA 341 250-9387,0
EMP-0142,LTA MOTORS,Hoja 1,Rosario,,,,,,,,,,,,,,,,Centro FOTON vinculado a Grupo Corven; contacto@ltamotors.com.ar,0
EMP-0143,LOS TANOS AGROSERVICIOS,Hoja 1,San Lorenzo,,,,,,,,,,info@lostanosagro.com,,,,,,info@lostanosagro.com; 341-3369943,0
EMP-0144,LONERA CENTENARIO,Hoja 1,Puerto Gral. San Martín,,,,,,,,,,loneracentenario@gmail.com,,,,,,,1
EMP-0145,LOGISTICA CUYO S.A.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,0
EMP-0146,Logimet,Hoja 1,Pérez,,,,,,,,,,ventas@logimet.com.ar,,,,,,,1
EMP-0147,Loberaz S.A.,Hoja 1,Ramallo / COMIRSA,,,,,,,,,,loberaz@loberaz.com.ar,,,,,,,1
EMP-0148,LLANEADOS ROSARIO S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,0
EMP-0149,limpito,Hoja 1,,1,VIANDAS,NO,,,,,,,,,,,,,Insumos de higiene: posible proveedor-aliado más que cliente; (0341) 456-7450,0
EMP-0150,Liliana,Hoja 1,,1,COMEDOR,NO,,,,,,,Mcazorla@liliana.com.ar,,,,,,,0
EMP-0151,LEGALES FLORES PIAZZA,Hoja 1,San Lorenzo,,,,,,,,,,abogadaflorespiazza@gmail.com,,,,,,,1
EMP-0152,LAROMET S.A.,Hoja 1,Rosario,,,,,,,,,,licitaciones@laromet.com.ar,,,,,,RUBRO CORREGIDO: constructora (no metalúrgica); compras@laromet.com.ar; 341 4808210,0
EMP-0153,Laboratorio Quimeco SRL,Hoja 1,Pérez,,,,,,,,,,administracion@quimeco.com.ar,,,,,,info@quimeco.com.ar; 341 4327472,0
EMP-0154,la virginia,Hoja 1,,1,VIANDAS,SI,,,,,,,,3413364450,EDUARDO,,,,,2
EMP-0155,LA CASA DE LA CONSTRUCCIÓN S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,Corralón; WA 3476-666546,0
EMP-0156,KRONE S.A.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,Estructuras metálicas (personal de planta = fit viandas); administracion@krone-sa.com.ar; WA 3476-551189,0
EMP-0157,Juan Navarro SA,Hoja 1,Pérez,,,,,,,,,,rosario@jnavarro.com.ar,,,,,,GANCHO: nueva planta inaugurada en Pérez; central (0341) 526-3999 pedir RRHH/Admin; 8 sucursales,0
EMP-0158,IZUCO S.A.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,Pendiente re-barrido,0
EMP-0159,Ivanar,Hoja 1,,1,,SI,NO,,,,,,compras@ivanar.com.ar,,,,,,ivanarsa@ivanar.com.ar + tu compras@ivanar.com.ar; RRHH vía ivanar.com.ar/trabajar-en-ivanar,1
EMP-0160,ISA INDEPENDENT SHIP AGENTS,Hoja 1,San Lorenzo,,,,,,,,,,isa@isa-agents.com.ar,,,,,,,1
EMP-0161,IRT,Hoja 1,San Lorenzo,,,,,,,,,,sanlorenzo@irt.com.ar,,,,VERIFICAR: dominio = medicina laboral,,irt.com.ar = medicina laboral (no mantenimiento); confirmar cuál es tu prospecto; sanlorenzo@irt.com.ar,0
EMP-0162,INGENIERIA Y SERVICIOS DELGADO S.A.,Hoja 1,Rosario,,,,,,,,,,ingyserv.sa@gmail.com,,,,,,,1
EMP-0163,INGENIERÍA UNO,Hoja 1,Rosario,,,,,,,,,,administracion@ingenieriauno.com.ar,,,,,,recursoshumanos@ingenieriauno.com.ar (casilla RRHH propia),0
EMP-0164,INGENIERÍA BOGGIO S.A.,Hoja 1,San Lorenzo,,,,,,,,,,sanlorenzo@ingenieriaboggio.com.ar,,,,,,Distribuidora eléctrica; (0341) 436-2640; WA 3415 32-3060,0
EMP-0165,INGENIERIA & PILOTES S.R.L.,Hoja 1,Rosario,,,,,,,,,,licitaciones@ingenieriaypilotes.com.ar,,,,,,38 empleados + operarios en obra = buen fit; Admin 0341-152812000,0
EMP-0166,ING. RINALDI Y ASOC. S.A,Hoja 1,Rosario,,,,,,,,,,milagros@rinaldiconstrucciones.com,,,,,,,2
EMP-0167,ING. PELLEGINET S.A.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,Sin web; pendiente re-barrido,0
EMP-0168,ING. PEDRO MINERVINO S.A.,Hoja 1,Rosario,,,,,,,,,,administracion@minervinosa.com.ar,,,,,,,1
EMP-0169,INFYA SRL,Hoja 1,Pérez,,,,,,,,,,administracion@infyasrl.com.ar,,,,,,Planta de tableros/montajes con ISO: fit viandas; 341 681-6000; info@infya.ar,0
EMP-0170,INDUSTRIAS SECCO,Hoja 1,,1,,NO,,,,,,,,,,+2000,,,+2000 empleados; compras@secco.com.ar para alta de proveedores; 0341 409-4000; RRHH vía secco.hiringroom.com,3
EMP-0171,INDUSOIL SERRVICIOS S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,Web vacía; pendiente,0
